date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Aug%202021%2010:29:18%20GMT	https://www.ourstrategyconsultantsbc.com/services	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/services.f.delayed	(from https://www.ourstrategyconsultantsbc.com/)
13:29:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Aug%202021%2010:29:19%20GMT	https://www.ourstrategyconsultantsbc.com/whitelabel	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/whitelabel	(from https://www.ourstrategyconsultantsbc.com/)
13:29:19	38473/38473	---M--	200	added ('OK')	text/html	date:Sat,%2028%20Aug%202021%2010:29:19%20GMT	https://www.ourstrategyconsultantsbc.com/services/	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/services/index.html	(from https://www.ourstrategyconsultantsbc.com/)
13:29:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Aug%202021%2010:29:19%20GMT	https://www.ourstrategyconsultantsbc.com/dashboard	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/dashboard	(from https://www.ourstrategyconsultantsbc.com/)
13:29:19	17664/17664	---M--	200	added ('OK')	text/html	date:Sat,%2028%20Aug%202021%2010:29:19%20GMT	https://www.ourstrategyconsultantsbc.com/whitelabel/	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/whitelabel/index.html	(from https://www.ourstrategyconsultantsbc.com/)
13:29:19	23987/23987	---M--	200	added ('OK')	image/png	etag:%2261223e9e-5db3%22	https://www.ourstrategyconsultantsbc.com/static/images/pattern/01.png	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/images/pattern/01.png	(from https://www.ourstrategyconsultantsbc.com/)
13:29:19	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2028%20Aug%202021%2010:29:19%20GMT	https://www.ourstrategyconsultantsbc.com/dashboard/	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/dashboard/index.html	(from https://www.ourstrategyconsultantsbc.com/)
13:29:20	28385/28385	---M--	200	added ('OK')	image/png	etag:%2261223e9e-6ee1%22	https://www.ourstrategyconsultantsbc.com/static/images/bg/04.png	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/images/bg/04.png	(from https://www.ourstrategyconsultantsbc.com/)
13:29:20	86734/86734	---M--	200	added ('OK')	image/png	etag:%2261223e9e-152ce%22	https://www.ourstrategyconsultantsbc.com/static/images/mackbook/01.png	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/images/mackbook/01.png	(from https://www.ourstrategyconsultantsbc.com/)
13:29:21	15888/15888	---M--	200	added ('OK')	image/png	etag:%2261223e9e-3e10%22	https://www.ourstrategyconsultantsbc.com/static/images/thebusinessbuildersapp.png	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/images/thebusinessbuildersapp.png	(from https://www.ourstrategyconsultantsbc.com/)
13:29:21	328067/328067	---M--	200	added ('OK')	image/png	etag:%2261223e9e-50183%22	https://www.ourstrategyconsultantsbc.com/static/images/Screenshot.png	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/images/Screenshot.png	(from https://www.ourstrategyconsultantsbc.com/)
13:29:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Aug%202021%2010:29:21%20GMT	https://www.ourstrategyconsultantsbc.com/user/login	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/user/login	(from https://www.ourstrategyconsultantsbc.com/)
13:29:22	10503/10503	---M--	200	added ('OK')	text/html	date:Sat,%2028%20Aug%202021%2010:29:21%20GMT	https://www.ourstrategyconsultantsbc.com/user/login/	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/user/login/index.html	(from https://www.ourstrategyconsultantsbc.com/)
13:29:23	61894/61894	---M--	200	added ('OK')	image/png	etag:%2261223e9e-f1c6%22	https://www.ourstrategyconsultantsbc.com/static/images/pattern/03.png	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/images/pattern/03.png	(from https://www.ourstrategyconsultantsbc.com/)
13:29:23	88145/88145	---M-Z	200	added ('OK')	text/javascript	etag:%2261223e9e-15851%22	https://www.ourstrategyconsultantsbc.com/static/js/jquery.min.js	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/js/jquery.min.js	(from https://www.ourstrategyconsultantsbc.com/)
13:29:24	21004/21004	---M-Z	200	added ('OK')	text/javascript	etag:%2261223e9e-520c%22	https://www.ourstrategyconsultantsbc.com/static/js/popper.min.js	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/js/popper.min.js	(from https://www.ourstrategyconsultantsbc.com/)
13:29:24	60010/60010	---M-Z	200	added ('OK')	text/javascript	etag:%2261223e9e-ea6a%22	https://www.ourstrategyconsultantsbc.com/static/js/bootstrap.min.js	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/js/bootstrap.min.js	(from https://www.ourstrategyconsultantsbc.com/)
13:29:25	3189/3189	---M-Z	200	added ('OK')	text/javascript	etag:%2261223e9e-c75%22	https://www.ourstrategyconsultantsbc.com/static/js/jquery.appear.js	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/js/jquery.appear.js	(from https://www.ourstrategyconsultantsbc.com/)
13:29:25	16662/16662	---M-Z	200	added ('OK')	text/javascript	etag:%2261223e9e-4116%22	https://www.ourstrategyconsultantsbc.com/static/js/modernizr.js	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/js/modernizr.js	(from https://www.ourstrategyconsultantsbc.com/)
13:29:26	2532/2532	---M-Z	200	added ('OK')	text/javascript	etag:%2261223e9e-9e4%22	https://www.ourstrategyconsultantsbc.com/static/js/jquery.easing.min.js	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/js/jquery.easing.min.js	(from https://www.ourstrategyconsultantsbc.com/)
13:29:26	24336/24336	---M-Z	200	added ('OK')	text/javascript	etag:%2261223e9e-5f10%22	https://www.ourstrategyconsultantsbc.com/static/js/menu/jquery.smartmenus.js	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/js/menu/jquery.smartmenus.js	(from https://www.ourstrategyconsultantsbc.com/)
13:29:26	44342/44342	---M-Z	200	added ('OK')	text/javascript	etag:%2261223e9e-ad36%22	https://www.ourstrategyconsultantsbc.com/static/js/owl-carousel/owl.carousel.min.js	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/js/owl-carousel/owl.carousel.min.js	(from https://www.ourstrategyconsultantsbc.com/)
13:29:27	20216/20216	---M-Z	200	added ('OK')	text/javascript	etag:%2261223e9e-4ef8%22	https://www.ourstrategyconsultantsbc.com/static/js/magnific-popup/jquery.magnific-popup.min.js	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/js/magnific-popup/jquery.magnific-popup.min.js	(from https://www.ourstrategyconsultantsbc.com/)
13:29:27	3001/3001	---M-Z	200	added ('OK')	text/javascript	etag:%2261223e9e-bb9%22	https://www.ourstrategyconsultantsbc.com/static/js/counter/counter.js	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/js/counter/counter.js	(from https://www.ourstrategyconsultantsbc.com/)
